ID,name,power,kill,path
32870013,,24224691,1018324,Screenshot_2020-07-17-19-14-47.png
32921831,,23339001,471970,Screenshot_2020-07-17-19-14-53.png
32850372,,25013341,145737,Screenshot_2020-07-17-19-14-59.png
33995797,,24470938,640561,Screenshot_2020-07-17-19-15-05.png
34027799,,23520007,350940,Screenshot_2020-07-17-19-15-11.png
34344247,,23197826,286354,Screenshot_2020-07-17-19-15-18.png
32818701,,22790343,825420,Screenshot_2020-07-17-19-15-28.png
33264554,,22222930,304943,Screenshot_2020-07-17-19-15-34.png
32886302,,22011103,47506,Screenshot_2020-07-17-19-15-40.png
32866794,,20828747,167468,Screenshot_2020-07-17-19-15-46.png
32916643,,22368983,85658,Screenshot_2020-07-17-19-15-52.png
34015869,,22050817,74538,Screenshot_2020-07-17-19-15-58.png
32909658,,21915702,365900,Screenshot_2020-07-17-19-16-05.png
32850382,,20388213,59814,Screenshot_2020-07-17-19-16-19.png
32871044,,19111151,217907,Screenshot_2020-07-17-19-16-25.png
32908249,,18188666,22740,Screenshot_2020-07-17-19-16-32.png
32911721,,17608104,137037,Screenshot_2020-07-17-19-16-38.png
32937381,,19300412,316296,Screenshot_2020-07-17-19-16-44.png
32865578,,19075617,524856,Screenshot_2020-07-17-19-16-50.png
32889186,,17854269,348226,Screenshot_2020-07-17-19-16-56.png
37268288,,17527156,36714,Screenshot_2020-07-17-19-17-02.png
35508783,,17300700,324772,Screenshot_2020-07-17-19-17-12.png
32824512,,16963682,428226,Screenshot_2020-07-17-19-17-18.png
32937876,,16617380,62694,Screenshot_2020-07-17-19-17-25.png
32939826,,16391463,347411,Screenshot_2020-07-17-19-17-31.png
32931677,,17079774,2514246,Screenshot_2020-07-17-19-17-37.png
39715543,,16884755,54549,Screenshot_2020-07-17-19-17-43.png
32899091,,16417456,44971,Screenshot_2020-07-17-19-17-49.png
32921203,,16234079,2901547,Screenshot_2020-07-17-19-17-55.png
34001747,,15933831,554374,Screenshot_2020-07-17-19-18-05.png
34035160,,14735652,248076,Screenshot_2020-07-17-19-18-11.png
36892658,,13704108,850386,Screenshot_2020-07-17-19-18-17.png
32905501,,13413470,696652,Screenshot_2020-07-17-19-18-24.png
35650857,,15505839,389516,Screenshot_2020-07-17-19-18-30.png
32895911,,13860185,44724,Screenshot_2020-07-17-19-18-36.png
37796819,,13476863,1333750,Screenshot_2020-07-17-19-18-42.png
34568871,,10791420,14237,Screenshot_2020-07-17-19-18-48.png
32916321,,9995360,392444,Screenshot_2020-07-17-19-18-58.png
52207379,,9142663,195512,Screenshot_2020-07-17-19-19-04.png
53114051,,7028851,23564,Screenshot_2020-07-17-19-19-10.png
60143585,,4231847,0,Screenshot_2020-07-17-19-19-17.png
32875812,,9610731,1029331,Screenshot_2020-07-17-19-19-23.png
63002044,,8018841,467,Screenshot_2020-07-17-19-19-29.png
32904825,,7028430,25515,Screenshot_2020-07-17-19-19-35.png
32915466,,4151270,252964,Screenshot_2020-07-17-19-19-41.png
52207379,,9142663,195512,Screenshot_2020-07-17-19-19-51.png
